Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Delay,Discount Binned,Discounted Revenue,Profit Margin,Order Month,Order Quarter,Order DayOfWeek,Order Year,Is Holiday Week
Standard Class,Consumer,Houston,Texas,77095,Central,Office Supplies,Appliances,2.264,1,0.8,-5.2072,4,41-100%,0.4528,-2.3,June,2,Monday,2017,No
Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Storage,248.57,7,0.0,67.1139,6,No Discount,248.57,0.27,June,2,Friday,2017,No
Standard Class,Consumer,Avondale,Arizona,85323,West,Office Supplies,Supplies,47.992,7,0.2,3.5994,6,11-20%,38.3936,0.075,November,4,Sunday,2014,No
Second Class,Consumer,Louisville,Kentucky,40214,South,Office Supplies,Storage,95.94,3,0.0,9.594,3,No Discount,95.94,0.1,December,4,Monday,2017,Yes
Standard Class,Consumer,San Francisco,California,94122,West,Furniture,Furnishings,30.8,4,0.0,10.164,4,No Discount,30.8,0.33,July,3,Thursday,2016,No
Standard Class,Consumer,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064,6,0.2,6.8136,4,11-20%,25.6512,0.2125,September,3,Monday,2014,No
First Class,Corporate,Houston,Texas,77070,Central,Furniture,Bookcases,1227.9984,6,0.32,-36.1176,3,31-40%,835.038912,-0.029411765,March,1,Sunday,2015,No
Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Storage,99.87,3,0.0,23.9688,5,No Discount,99.87,0.24,September,3,Saturday,2017,No
Standard Class,Consumer,Chicago,Illinois,60623,Central,Office Supplies,Storage,32.592,3,0.2,-7.7406,6,11-20%,26.0736,-0.2375,December,4,Friday,2014,No
Second Class,Consumer,Dearborn Heights,Michigan,48127,Central,Office Supplies,Binders,40.2,5,0.0,18.09,2,No Discount,40.2,0.45,April,2,Saturday,2014,No
Standard Class,Consumer,Rio Rancho,New Mexico,87124,West,Furniture,Chairs,883.84,4,0.2,99.432,5,11-20%,707.072,0.1125,November,4,Saturday,2015,No
First Class,Consumer,New York City,New York,10024,East,Office Supplies,Paper,19.65,3,0.0,9.039,3,No Discount,19.65,0.46,June,2,Saturday,2014,No
Standard Class,Corporate,Thousand Oaks,California,91360,West,Furniture,Furnishings,22.72,1,0.0,9.3152,5,No Discount,22.72,0.41,October,4,Sunday,2017,No
Standard Class,Consumer,San Diego,California,92037,West,Furniture,Tables,626.352,3,0.2,-23.4882,4,11-20%,501.0816,-0.0375,March,1,Monday,2014,No
Standard Class,Corporate,San Diego,California,92037,West,Furniture,Bookcases,435.999,3,0.15,20.5176,5,11-20%,370.59915,0.047058824,September,3,Tuesday,2014,No
Standard Class,Consumer,Atlanta,Georgia,30318,South,Technology,Phones,377.97,3,0.0,98.2722,4,No Discount,377.97,0.26,May,2,Friday,2017,No
Standard Class,Corporate,Hollywood,Florida,33021,South,Office Supplies,Labels,9.216,4,0.2,3.3408,6,11-20%,7.3728,0.3625,August,3,Saturday,2016,No
Standard Class,Corporate,Hesperia,California,92345,West,Furniture,Bookcases,424.9575,5,0.15,19.998,5,11-20%,361.213875,0.047058824,September,3,Monday,2016,No
Standard Class,Consumer,Virginia Beach,Virginia,23464,South,Furniture,Tables,356.85,5,0.0,60.6645,6,No Discount,356.85,0.17,October,4,Thursday,2017,No
Second Class,Corporate,San Francisco,California,94109,West,Office Supplies,Appliances,69.48,1,0.0,20.844,4,No Discount,69.48,0.3,December,4,Friday,2017,No
Standard Class,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Storage,91.99,1,0.0,3.6796,6,No Discount,91.99,0.04,December,4,Friday,2017,No
First Class,Home Office,Omaha,Nebraska,68104,Central,Furniture,Chairs,563.94,3,0.0,112.788,3,No Discount,563.94,0.2,December,4,Sunday,2016,No
First Class,Corporate,Watertown,New York,13601,East,Office Supplies,Binders,895.92,5,0.2,302.373,2,11-20%,716.736,0.3375,August,3,Thursday,2017,No
Standard Class,Home Office,Orem,Utah,84057,West,Office Supplies,Binders,59.808,3,0.2,19.4376,5,11-20%,47.8464,0.325,June,2,Monday,2014,No
Same Day,Home Office,San Francisco,California,94122,West,Office Supplies,Paper,45.36,4,0.0,22.2264,0,No Discount,45.36,0.49,November,4,Monday,2017,No
Second Class,Home Office,North Las Vegas,Nevada,89031,West,Office Supplies,Binders,4535.976,3,0.2,1644.2913,5,11-20%,3628.7808,0.3625,October,4,Friday,2016,No
Second Class,Corporate,Saint Paul,Minnesota,55106,Central,Technology,Phones,114.95,5,0.0,2.299,4,No Discount,114.95,0.02,December,4,Thursday,2016,No
Standard Class,Corporate,Houston,Texas,77041,Central,Office Supplies,Labels,6.264,3,0.2,2.0358,7,11-20%,5.0112,0.325,July,3,Friday,2015,No
Second Class,Home Office,Chicago,Illinois,60653,Central,Office Supplies,Labels,24.424,1,0.2,7.9378,2,11-20%,19.5392,0.325,October,4,Monday,2014,No
First Class,Corporate,Lakeland,Florida,33801,South,Office Supplies,Binders,78.6,5,0.7,-62.88,1,41-100%,23.58,-0.8,June,2,Thursday,2015,No
Second Class,Consumer,Salem,Oregon,97301,West,Office Supplies,Storage,29.304,3,0.2,2.5641,2,11-20%,23.4432,0.0875,March,1,Friday,2015,No
First Class,Consumer,Durham,North Carolina,27707,South,Office Supplies,Appliances,98.352,3,0.2,9.8352,3,11-20%,78.6816,0.1,November,4,Monday,2015,Yes
Standard Class,Consumer,New York City,New York,10035,East,Office Supplies,Envelopes,39.98,1,0.0,17.991,5,No Discount,39.98,0.45,September,3,Thursday,2015,No
Standard Class,Consumer,San Francisco,California,94122,West,Furniture,Furnishings,201.04,8,0.0,54.2808,5,No Discount,201.04,0.27,December,4,Wednesday,2017,No
